k,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a
12,121,205,1.4236111111111112,0.009886188271604939,143.92984867366675,232.63575509376838,178.0964523778789,0.8081567417653068
12,121,253,1.7569444444444444,0.012201003086419753,142.6238376787107,266.2792588262362,152.78365400196154,0.9335019417514363
12,121,312,2.1666666666666665,0.015046296296296295,139.8570591113238,281.171216159259,139.1322856617676,1.0052092398691568
12,121,384,2.6666666666666665,0.018518518518518517,136.58047128695137,295.28865741778407,126.3456937363709,1.081006144712269
12,121,474,3.2916666666666665,0.022858796296296297,133.11917126755984,306.2604409028911,115.72316494235572,1.150324322134375
12,121,584,4.055555555555555,0.02816358024691358,130.18454337699342,290.84505393499967,116.5432597527614,1.117049099649101
12,121,720,5.0,0.034722222222222224,127.98620523867697,273.5951647006172,119.74238469690171,1.068846303359019
12,121,1308,9.083333333333334,0.0630787037037037,123.85141271403234,259.3890372239878,118.271555308761,1.047178354852141
12,121,2377,16.506944444444443,0.11463155864197531,122.11600464478212,240.33662663712846,124.09526420556588,0.9840504827202343
12,121,4320,30.0,0.20833333333333334,122.01202065381035,237.0669454871181,125.59265192738378,0.9714901212879579
