p_X,p_Y,ratio,N,lam,mu,sigma2,nu,a
0.1,0.02,5.0,20,0.04,0.22318501719065542,0.7666282671448362,0.12994968756867517,1.7174725185292015
0.1,0.02,5.0,30,0.06,0.3289596168039509,1.0297749999554213,0.2101710169551345,1.5651997195891878
0.1,0.02,5.0,50,0.1,0.48788242723548986,1.2471939807667478,0.3817036747705562,1.278170632045285
0.1,0.02,5.0,75,0.15,0.6101686821531945,1.2740257840283804,0.5844557078010795,1.043994735629935
0.1,0.02,5.0,100,0.2,0.7010384479774184,1.097588392388828,0.8955176803081321,0.7828303822390232
0.1,0.02,5.0,150,0.3,0.8511917239043484,1.1105739024512973,1.3047800767586102,0.6523641332866722
0.1,0.02,5.0,200,0.4,0.9471784404055655,0.9560702052974596,1.8767387436574128,0.5046938171903949
0.1,0.02,5.0,300,0.6,1.0955352084957262,1.2625991196936739,1.9011535400800226,0.5762476230350198
0.1,0.02,5.0,500,1.0,1.1685739709715057,1.4474667040614462,1.8868345942610976,0.6193303718968172
0.1,0.02,5.0,750,1.5,1.1134646619876976,1.9632759770361532,1.2629946762421438,0.881606773910282
0.1,0.02,5.0,1000,2.0,1.1721727690681907,2.395818564085408,1.1469891928727947,1.021956245404824
0.1,0.05,2.0,10,0.05,0.2585142379110874,0.8762303277793743,0.15253891376281445,1.6947428792698493
0.1,0.05,2.0,20,0.1,0.44733854718317767,1.2168436191851024,0.3289030285255014,1.3600925147713967
0.1,0.05,2.0,30,0.15000000000000002,0.6197876216538833,1.3020677006683226,0.5900410489534582,1.050414412273834
0.1,0.05,2.0,50,0.25,0.7432746400178407,1.0426985873636463,1.059668052088726,0.7014221468249061
0.1,0.05,2.0,75,0.375,0.9588681813404284,1.250593856981986,1.4703865432474204,0.6521198019282204
0.1,0.05,2.0,100,0.5,0.9859271044997898,1.1046407888244874,1.7599427166214947,0.560204088001479
0.1,0.05,2.0,150,0.75,1.1491321765807234,1.396820682023093,1.8907291053860835,0.607771982409967
0.1,0.05,2.0,200,1.0,1.159746360232215,1.391594878828525,1.9330505458659497,0.5999565622908648
0.1,0.05,2.0,300,1.5,1.1433829459923321,1.949247740169948,1.3413631671796868,0.8524037143470828
0.1,0.05,2.0,500,2.5,1.1033276327119959,2.2632134725927995,1.0757552302048186,1.0256307399053293
0.1,0.05,2.0,750,3.75,1.0954087800674142,2.4194003780112925,0.9919155228330545,1.104336765432169
0.1,0.05,2.0,1000,5.0,1.0244804265932017,2.1824592863586902,0.9618141800241509,1.0651542136418464
0.1,0.1,1.0,10,0.1,0.4739941908248412,1.3443230603259786,0.3342507460687562,1.418079679401342
0.1,0.1,1.0,20,0.2,0.7157593041446829,1.4121216450335818,0.7255910045306293,0.9864500795564488
0.1,0.1,1.0,30,0.30000000000000004,0.8954116034331867,1.5129919399551448,1.0598363657992256,0.8448583501453588
0.1,0.1,1.0,50,0.5,1.0167119270459701,1.264240379990816,1.6352952475779003,0.6217298855065236
0.1,0.1,1.0,75,0.75,1.1261651903493226,1.30433784253209,1.9446618730197947,0.5791059134617278
0.1,0.1,1.0,100,1.0,1.1172419579805792,1.5894234352205063,1.570669671797191,0.7113156751172314
0.1,0.1,1.0,150,1.5,1.1771319026461358,2.050827599198998,1.3512979021430254,0.8711120625432189
0.1,0.1,1.0,200,2.0,1.119635301894384,2.123584772933353,1.1806293068456386,0.9483377173532851
0.1,0.1,1.0,300,3.0,1.0579837033301482,2.249223035073576,0.9953032661125667,1.062976219763045
