scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,method,method_label,valid_replicates,valid_rate,fpr_10,absolute_fpr_error_10,fpr_05,absolute_fpr_error_05,fpr_01,absolute_fpr_error_01
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1151,0.015099999999999988,0.0604,0.0104,0.0154,0.0054
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1147,0.01469999999999999,0.0597,0.0097,0.0148,0.0048000000000000004
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1136,0.013600000000000001,0.0581,0.008099999999999996,0.0136,0.003599999999999999
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.1177,0.017699999999999994,0.0619,0.011899999999999994,0.0164,0.006400000000000001
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,jackknife_simple,Jackknife correction + Simple Welch,10000,1.0,0.1167,0.016699999999999993,0.0611,0.011099999999999999,0.0161,0.0060999999999999995
fixed_2x5_d1,well_sampled,Well sampled,variant_2,2,5,200,200,0.15,1.3847868515359931,1.0,606157434,10000,jackknife_expanded,Jackknife correction + Expanded Welch,10000,1.0,0.1156,0.015599999999999989,0.0599,0.009899999999999999,0.0154,0.0054
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,analytic_normal,Analytic correction + Normal Wald,10000,1.0,0.1169,0.0169,0.0633,0.013299999999999992,0.0152,0.0052
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,analytic_simple,Analytic correction + Simple Welch,10000,1.0,0.1147,0.01469999999999999,0.0621,0.0121,0.0138,0.0037999999999999996
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,analytic_expanded,Analytic correction + Expanded Welch,10000,1.0,0.1081,0.008099999999999996,0.0559,0.0058999999999999955,0.0107,0.0006999999999999992
fixed_2x5_d2,moderate,Moderate,variant_1,2,5,100,100,0.1,1.7019950912172586,1.0,2674302760,10000,jackknife_normal,Jackknife correction + Normal Wald,10000,1.0,0.124,0.023999999999999994,0.0678,0.017799999999999996,0.0169,0.006899999999999998
