cohort,ratio,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
holdout,2,normal,Always Normal Wald,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,expanded_no_fallback,Always Expanded Welch,216,0.988375,1.0,0.6791960284534713,0.062311743325087744,0.02003393568725793,0.005333333333333329,0.02283333333333333,0.701,0.017174029687535407,0.009577133431617842,0.001666666666666667,0.0075,0.48333333333333334
holdout,2,expanded_fallback,Expanded with Wald fallback,216,0.9980555555555555,0.9892335746816925,0.7943181863223868,0.06560262860745539,0.02125077675560354,0.005166666666666667,0.02283333333333333,0.701,0.019682504671623326,0.011636208375327028,0.001666666666666667,0.008666666666666666,0.48333333333333334
holdout,2,ratio_ge_2,Expanded if ratio >= 2,216,0.9980555555555555,0.9892335746816925,0.7943181863223868,0.06560262860745539,0.02125077675560354,0.005166666666666667,0.02283333333333333,0.701,0.019682504671623326,0.011636208375327028,0.001666666666666667,0.008666666666666666,0.48333333333333334
holdout,2,ratio_ge_3,Expanded if ratio >= 3,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4,Expanded if ratio >= 4,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_6,Expanded if ratio >= 6,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_10,Expanded if ratio >= 10,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,2,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",216,0.9980555555555555,0.0,0.9069110623732193,0.07047427037314809,0.023656369138580196,0.005333333333333336,0.033166666666666664,0.7073333333333333,0.022329786925921195,0.013406947419748351,0.002,0.016166666666666666,0.4966666666666667
holdout,3,normal,Always Normal Wald,216,0.9991929012345679,0.0,1.4695295307562926,0.08225842142248846,0.03475224858298229,0.006000000000000005,0.07166666666666666,0.8743333333333333,0.03160372114544297,0.02244014089852939,0.002333333333333333,0.035333333333333335,0.7686666666666666
holdout,3,expanded_no_fallback,Always Expanded Welch,216,0.9895385802469135,1.0,1.1066729660331793,0.07209732167781999,0.027850209186377546,0.0050000000000000044,0.032833333333333325,0.871,0.024636080983836645,0.016563417483388083,0.001666666666666667,0.010833333333333334,0.757
holdout,3,expanded_fallback,Expanded with Wald fallback,216,0.9991929012345679,0.9899199601415113,1.2224535089931579,0.07550983458133412,0.02963020495170449,0.0050000000000000044,0.033333333333333326,0.871,0.027013769930263005,0.01852302918952226,0.001666666666666667,0.014333333333333333,0.757
holdout,3,ratio_ge_2,Expanded if ratio >= 2,216,0.9991929012345679,0.9899199601415113,1.2224535089931579,0.07550983458133412,0.02963020495170449,0.0050000000000000044,0.033333333333333326,0.871,0.027013769930263005,0.01852302918952226,0.001666666666666667,0.014333333333333333,0.757
holdout,3,ratio_ge_3,Expanded if ratio >= 3,216,0.9991929012345679,0.9899199601415113,1.2224535089931579,0.07550983458133412,0.02963020495170449,0.0050000000000000044,0.033333333333333326,0.871,0.027013769930263005,0.01852302918952226,0.001666666666666667,0.014333333333333333,0.757
holdout,3,ratio_ge_4,Expanded if ratio >= 4,216,0.9991929012345679,0.0,1.4695295307562926,0.08225842142248846,0.03475224858298229,0.006000000000000005,0.07166666666666666,0.8743333333333333,0.03160372114544297,0.02244014089852939,0.002333333333333333,0.035333333333333335,0.7686666666666666
