cohort,regime,regime_label,rule,rule_label,configurations,mean_valid_rate,mean_expanded_route_rate,mean_selection_score,mean_fpr_05,mean_absolute_error_05,median_absolute_error_05,p90_absolute_error_05,maximum_absolute_error_05,mean_fpr_01,mean_absolute_error_01,median_absolute_error_01,p90_absolute_error_01,maximum_absolute_error_01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_10,Expanded if ratio >= 10,156,1.0,0.3076923076923077,0.12170940170940171,0.05058547008547009,0.003602564102564102,0.0030000000000000027,0.006999999999999999,0.015666666666666662,0.010547008547008546,0.0017136752136752138,0.001333333333333334,0.0033333333333333335,0.012333333333333333
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_margin_ge_1,Ratio >= 4 and minimum margin >= 1,156,1.0,0.6153846153846154,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_margin_ge_2,Ratio >= 4 and minimum margin >= 2,156,1.0,0.6153568376068376,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_margin_ge_5,Ratio >= 4 and minimum margin >= 5,156,1.0,0.6139273504273505,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_small_share_ge_50,Ratio >= 4 and smaller-sample share >= 0.50,156,1.0,0.6153824786324786,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_small_share_ge_60,Ratio >= 4 and smaller-sample share >= 0.60,156,1.0,0.6152393162393163,0.11636752136752136,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010446581196581196,0.001626068376068376,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_small_share_ge_70,Ratio >= 4 and smaller-sample share >= 0.70,156,1.0,0.6079893162393163,0.11677350427350429,0.05042307692307692,0.003504273504273504,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.01045940170940171,0.0016346153846153847,0.001333333333333334,0.0031666666666666666,0.01
holdout,ultra_sparse,Ultra-skewed and sparse,ratio_ge_4_margin_ge_2_share_ge_50,"Ratio >= 4, minimum margin >= 2, and smaller-sample share >= 0.50",156,1.0,0.6153547008547008,0.11626068376068376,0.050416666666666665,0.003506410256410256,0.0029999999999999957,0.006666666666666668,0.013999999999999999,0.010444444444444444,0.0016239316239316241,0.001333333333333334,0.0031666666666666666,0.01
holdout,widespread_sparse,Widespread sparsity,normal,Always Normal Wald,156,0.9999978632478632,0.0,1.9856434908502258,0.10124159263914183,0.05252791742546661,0.043,0.10716666666666667,0.21266666666666667,0.03877566240028727,0.029207286331911213,0.022999999999999996,0.06616666666666668,0.11
holdout,widespread_sparse,Widespread sparsity,expanded_no_fallback,Always Expanded Welch,156,0.9956858974358974,1.0,0.927861391993042,0.07163745486185016,0.03456579402207178,0.0235,0.07333333333333333,0.20933333333333337,0.018037369620872434,0.011644069035446486,0.0051470588235294126,0.028666666666666667,0.08233333333333334
holdout,widespread_sparse,Widespread sparsity,expanded_fallback,Expanded with Wald fallback,156,0.9999978632478632,0.9956879714890718,1.057028425429559,0.07545094661183359,0.0338225576616707,0.020666666666666667,0.07333333333333333,0.20933333333333337,0.021384626784426715,0.014376056976257042,0.007166666666666667,0.03899999999999999,0.08233333333333334
holdout,widespread_sparse,Widespread sparsity,ratio_ge_2,Expanded if ratio >= 2,156,0.9999978632478632,0.919429487179487,1.0571605848673202,0.07614971229726149,0.03376082340837259,0.02016666666666667,0.07333333333333333,0.20933333333333337,0.021626089750714627,0.014391047015671888,0.007166666666666667,0.03899999999999999,0.08233333333333334
