k,shape,n,nu0,A_nu,A_a,r2_nu,r2_a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
7,two_rare,11,36,0.14055262382927744,0.0013678355609312769,0.6107588846434477,-0.39296220891815925,2.6306204893515988,0.9370459248606617,6.19292291844661,0.8847032740638013,5.8528428093645495,0.8361204013377928,0.3,-1.2039728043259361
8,two_rare,11,49,0.17160962636411847,0.0002665998757404112,0.6128289147429669,-0.2465897112255906,2.8504018572935665,0.9501339524311888,7.2120123001110805,0.9015015375138851,6.876790830945557,0.8595988538681947,0.3,-1.2039728043259361
9,two_rare,12,64,0.1087961073657212,0.0014129147478789553,0.43587148954363386,-0.8824416002069968,3.0402239289418524,0.9590838671446656,8.226187347709699,0.9140208164121888,7.894736842105263,0.8771929824561403,0.3,-1.2039728043259361
10,two_rare,11,81,0.1191554984957691,0.000999480411522812,0.20506427948462802,0.037030808788727665,3.207444919154476,0.9655371301055304,9.237131581104098,0.9237131581104098,8.9086859688196,0.8908685968819601,0.3,-1.2039728043259361
11,two_rare,11,100,0.02051617644639079,0.0018837916978198753,-0.07388669339389109,0.6223647261051244,3.356966026788295,0.9703808014886086,10.24583761434695,0.93143978312245,9.919839679358718,0.901803607214429,0.3,-1.2039728043259361
12,two_rare,11,121,0.17100116988364325,0.0003454352247510713,0.26267609299502526,-0.014990092975724512,3.4922286472589508,0.9741325457536723,11.252928891958996,0.9377440743299164,10.928961748633876,0.9107468123861563,0.3,-1.2039728043259361
13,two_rare,11,144,0.05142833738561536,0.0010796114751618672,0.14802398903107628,-0.8069151854689285,3.6157478377878807,0.9771130225583687,12.258816830645578,0.9429859100496599,11.936560934891483,0.9181969949916525,0.3,-1.2039728043259361
14,two_rare,11,169,0.11670624137199419,0.0005388892781075137,0.3790006921596524,-0.5594021203645423,3.7294205067375845,0.9795305620528013,13.263783944127566,0.9474131388662547,12.942989214175654,0.9244992295839752,0.3,-1.2039728043259361
15,two_rare,12,196,0.1122488644012021,0.0005043187521382487,0.3555731425334516,-1.0167558345505725,3.834714318497864,0.981525902672631,14.268030685121982,0.9512020456747988,13.948497854077258,0.9298998569384839,0.3,-1.2039728043259361
3,uniform,8,4,0.2886331857454886,-0.011939828984872438,0.7300536432833304,0.15924549876795813,1.584962500721156,1.0,3.0,1.0,3.0,1.0,1.0,0.0
4,uniform,10,9,0.4194316264079216,-0.01557962011653055,0.8400736381309437,0.5495775900880103,2.0,1.0,4.0,1.0,4.0,1.0,1.0,0.0
5,uniform,10,16,0.4875687039790509,-0.01148501198376477,0.8644542916377822,0.6801442794735423,2.321928094887362,1.0,4.999999999999999,0.9999999999999998,4.999999999999999,0.9999999999999998,1.0,0.0
6,uniform,12,25,0.5047701331419576,-0.008001831469790097,0.8768086121866692,0.7494414612461094,2.584962500721156,1.0,6.0,1.0,5.999999999999999,0.9999999999999999,1.0,0.0
7,uniform,12,36,0.5828328190998834,-0.0062449144414726925,0.8867079821552006,0.7871212299386888,2.807354922057604,1.0,7.0,1.0,7.0,1.0,1.0,0.0
