k,shape,nu0,N,lam_min,lam_tp,mu,sigma2,nu,a,H,H_norm,perp,perp_n,simpson,simpson_n,k_min_p,log_k_min_p
11,one_rare_0.8,100,144,0.7616528925619837,0.009739672732944871,118.6489479495178,164.81493480003365,170.8288495409399,0.6945486565551274,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,177,0.9361983471074382,0.01197168106757807,118.9190945720084,197.86063250751187,142.94658694462004,0.8319127942388699,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,218,1.1530578512396696,0.014744782331819318,117.8715277647353,224.13986258073882,123.97345922872627,0.9507803403893641,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,269,1.4228099173553723,0.018194249758070626,115.04120288868364,232.96075821896454,113.61980844547148,1.0125100936417641,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,332,1.7560330578512402,0.022455356578734008,112.20751486319732,238.0390413605055,105.78538982356713,1.0607089981928626,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,409,2.1633057851239674,0.027663376026211474,109.8870112258236,238.84688848788323,101.11209999502972,1.0867839875863048,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,504,2.665785123966943,0.034088854565307046,107.38251506110772,231.26289037270467,99.72204811818784,1.0768181870256106,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,622,3.2899173553719017,0.04206997527702576,105.32753221496505,228.1435049335507,97.25360400442447,1.083019321424564,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,767,4.056859504132232,0.05187728462617164,104.03878494582996,222.2244536612031,97.41564076028025,1.0679885091742904,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
11,one_rare_0.8,100,945,4.9983471074380175,0.06391660230995072,103.2021338023005,211.97726919418486,100.48889168009069,1.027000418422839,3.456353175319373,0.9991101303169747,10.976553067227108,0.9978684606570098,10.956175298804784,0.9960159362549803,0.8000000000000002,-0.22314355131420957
