condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.076,0.09334354290065697
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.077,0.09456858991286052
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.078,0.09555862492186311
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.079,0.09671866393046516
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08,0.09757869993966779
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.081,0.0987537519540723
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.082,0.0997087949674769
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.083,0.1008138419804809
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.084,0.10171387198808308
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.085,0.10293392300188726
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08600000000000001,0.10413397701589137
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08700000000000001,0.10513402102629413
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.088,0.10624405903629705
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.089,0.10711409704670025
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.09,0.1080041280545025
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.091,0.10909416606410519
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.092,0.11026421007410762
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.093,0.11122424908591164
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.094,0.11233929809931578
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.095,0.11330433010731797
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.096,0.11431437311832113
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.097,0.11547442413132487
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.098,0.11652945814092792
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.099,0.11755450515433216
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.1,0.11872454816413458
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.0,0.0
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.001,0.052139999999999985
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.002,0.061529999999999994
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.003,0.06819500000000003
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.004,0.07340999999999999
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.005,0.07795999999999997
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.006,0.08193
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.007,0.08549999999999998
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.008,0.089195
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.009000000000000001,0.09231500000000001
