display_id,section,figure_key,row_key,row_label,column_key,column_label,x_kind,x_value,shape,profile,dominant_p,dominant_q,pattern,constructor,baseline_mi,mi_direction,mi_difference,target_mi_p,target_mi_q,n_p,n_q,pair_id,configuration_id
display_00101,main,main_2x2_large,same_skew,same skew,500,nP=nQ=500,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,500,500,pair_6efac570a6eb6806,config_36596abaf72a8f5b
display_00102,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.0,2x2,same_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,1000,1000,pair_cd3f51adc4b4ed85,config_c89d367d7c2b178b
display_00103,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.001,2x2,same_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,1000,1000,pair_9fab52b2674275fb,config_d20444a92b745cb1
display_00104,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.002,2x2,same_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,1000,1000,pair_c6d13f7ebf1a5166,config_d7b284e99875a796
display_00105,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.005,2x2,same_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,1000,1000,pair_912f7fd65fdd36a9,config_d9a9a5c5167b7f68
display_00106,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.01,2x2,same_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,1000,1000,pair_002394c5f121757e,config_ff38434622711baa
display_00107,main,main_2x2_large,same_skew,same skew,1000,nP=nQ=1000,mi_difference,0.02,2x2,same_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,1000,1000,pair_6efac570a6eb6806,config_d88eb4d6a1db28f3
display_00108,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,2,2,pair_308be584e4c09575,config_edfcd95edaba3209
display_00109,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.001,2x2,different_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,2,2,pair_f3474ff3b883c7ca,config_0d301c2433be668f
display_00110,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.002,2x2,different_skew,,,first,additive,0.02,q_higher,0.002,0.02,0.022,2,2,pair_a3c9f50d8e0225c2,config_7ba6c33fad7f7ab8
display_00111,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.005,2x2,different_skew,,,first,additive,0.02,q_higher,0.005,0.02,0.025,2,2,pair_ec6b5fcc8cd2e2a2,config_141bc1094f7340e1
display_00112,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.01,2x2,different_skew,,,first,additive,0.02,q_higher,0.01,0.02,0.03,2,2,pair_416685eb037a66f0,config_c396351f8d555f03
display_00113,main,main_2x2_small,different_skew,different skew,2,nP=nQ=2,mi_difference,0.02,2x2,different_skew,,,first,additive,0.02,q_higher,0.02,0.02,0.04,2,2,pair_f79a47be5e38070d,config_a56b5a56f3ac5397
display_00114,main,main_2x2_small,different_skew,different skew,5,nP=nQ=5,mi_difference,0.0,2x2,different_skew,,,first,additive,0.02,q_higher,0.0,0.02,0.02,5,5,pair_308be584e4c09575,config_3d7d09758558e44b
display_00115,main,main_2x2_small,different_skew,different skew,5,nP=nQ=5,mi_difference,0.001,2x2,different_skew,,,first,additive,0.02,q_higher,0.001,0.02,0.021,5,5,pair_f3474ff3b883c7ca,config_b81cc3504a7dc320
