configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
4x4_balanced_n250,4x4,4,balanced,250,equal_mi_null,15,7.465046752496537,0.0,0.0,0.0,0.0,1.0,25.504000019282103,33.59840018674731,39.0,8.124774103501764e-09
4x4_balanced_n500,4x4,4,balanced,500,alternative,15,9.465543017838261,0.0,0.0,0.0,0.0,1.0,27.290042024105787,32.09529994055629,42.0,7.347297770188277e-11
4x4_balanced_n500,4x4,4,balanced,500,equal_mi_null,15,14.930093504993074,0.0,0.0,0.0,0.0,1.0,28.201791923493147,48.17734956741332,42.0,3.7962056137486044e-09
4x4_balanced_n1000,4x4,4,balanced,1000,alternative,15,18.931086035676522,0.0,0.0,0.0,0.0,1.0,30.12233297340572,37.71564974449575,43.0,2.13006418059436e-11
4x4_balanced_n1000,4x4,4,balanced,1000,equal_mi_null,15,29.86018700998615,0.0,0.0,0.0,0.0,1.0,29.791791923344135,46.07623349875212,42.0,3.6155077542954217e-10
4x4_mild_n25,4x4,4,mild,25,alternative,15,0.02472733514940689,0.65625,0.9375,0.475,0.5583333333333333,1.0,37.65429207123816,75.10098349303006,71.0,1.729803134065122e-09
4x4_mild_n25,4x4,4,mild,25,equal_mi_null,15,0.05879171040133239,0.65625,0.9375,0.5041666666666667,0.48333333333333334,1.0,64.96750004589558,124.69002497382462,104.0,3.797352571277557e-09
4x4_mild_n50,4x4,4,mild,50,alternative,15,0.04945467029881378,0.46875,0.9375,0.3,0.3625,1.0,19.066167064011097,79.87959147430956,45.0,1.568449009559103e-09
4x4_mild_n50,4x4,4,mild,50,equal_mi_null,15,0.11758342080266478,0.46875,0.9375,0.31666666666666665,0.30833333333333335,1.0,20.54874994792044,78.79588329233228,42.0,1.5897332894532212e-09
4x4_mild_n75,4x4,4,mild,75,alternative,15,0.07418200544822066,0.3125,0.8125,0.22916666666666666,0.2875,1.0,35.756542114540935,75.59010004624723,63.0,9.355453078896403e-10
4x4_mild_n75,4x4,4,mild,75,equal_mi_null,15,0.17637513120399717,0.3125,0.8125,0.21666666666666667,0.2125,1.0,23.572250036522746,61.50788315571844,54.0,4.28097518545556e-09
4x4_mild_n100,4x4,4,mild,100,alternative,15,0.09890934059762756,0.125,0.6875,0.13333333333333333,0.2,1.0,31.25479188747704,61.198399914428585,69.0,9.567139858113194e-10
