method,method_label,valid_count,valid_rate,p_value_threshold_for_five_percent,calibration_key,configuration_id,power_family,n_p,n_q,replicates
expanded_welch,Expanded Welch,76,0.152,0.3523281050582527,extreme_rare_np50_nq50,PCAL_PCAL_extreme_rare_np50_nq50_extreme_rare_np50_nq50,extreme_rare,50,50,500
normal_wald,Normal Wald,446,0.892,0.2135770532080431,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,500
simple_welch,Simple Welch,446,0.892,0.21651412687584806,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,500
expanded_welch,Expanded Welch,233,0.466,0.34265120090576434,extreme_rare_np100_nq100,PCAL_PCAL_extreme_rare_np100_nq100_extreme_rare_np100_nq100,extreme_rare,100,100,500
normal_wald,Normal Wald,499,0.998,0.1525171252899763,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,500
simple_welch,Simple Welch,499,0.998,0.1540854291532532,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,500
expanded_welch,Expanded Welch,409,0.818,0.25892495658819886,extreme_rare_np200_nq200,PCAL_PCAL_extreme_rare_np200_nq200_extreme_rare_np200_nq200,extreme_rare,200,200,500
normal_wald,Normal Wald,500,1.0,0.2152504302753983,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,500
simple_welch,Simple Welch,500,1.0,0.21573524266792027,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,500
expanded_welch,Expanded Welch,495,0.99,0.2880319941284347,extreme_rare_np500_nq500,PCAL_PCAL_extreme_rare_np500_nq500_extreme_rare_np500_nq500,extreme_rare,500,500,500
normal_wald,Normal Wald,500,1.0,0.21888386357940018,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,500
simple_welch,Simple Welch,500,1.0,0.21916754591169094,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,500
expanded_welch,Expanded Welch,500,1.0,0.2983939968838091,extreme_rare_np1000_nq1000,PCAL_PCAL_extreme_rare_np1000_nq1000_extreme_rare_np1000_nq1000,extreme_rare,1000,1000,500
normal_wald,Normal Wald,172,0.344,8.551663469547957e-49,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,500
simple_welch,Simple Welch,172,0.344,1.7856014278881815e-17,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,500
expanded_welch,Expanded Welch,12,0.024,0.21807972257971237,extreme_rare_np20_nq40,PCAL_PCAL_extreme_rare_np20_nq40_extreme_rare_np20_nq40,extreme_rare,20,40,500
normal_wald,Normal Wald,338,0.676,0.0,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,500
simple_welch,Simple Welch,338,0.676,1.0416397427628542e-92,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,500
expanded_welch,Expanded Welch,47,0.094,0.10642606649733585,extreme_rare_np20_nq100,PCAL_PCAL_extreme_rare_np20_nq100_extreme_rare_np20_nq100,extreme_rare,20,100,500
normal_wald,Normal Wald,446,0.892,0.0,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,500
simple_welch,Simple Welch,446,0.892,4.2703165351971243e-187,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,500
expanded_welch,Expanded Welch,55,0.11,0.08807378029791962,extreme_rare_np20_nq200,PCAL_PCAL_extreme_rare_np20_nq200_extreme_rare_np20_nq200,extreme_rare,20,200,500
normal_wald,Normal Wald,389,0.778,7.41684123882896e-41,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,500
simple_welch,Simple Welch,389,0.778,6.13843744536484e-24,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,500
expanded_welch,Expanded Welch,137,0.274,0.03420111073483093,extreme_rare_np50_nq100,PCAL_PCAL_extreme_rare_np50_nq100_extreme_rare_np50_nq100,extreme_rare,50,100,500
normal_wald,Normal Wald,467,0.934,0.0,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,500
simple_welch,Simple Welch,467,0.934,1.175482317833441e-111,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,500
expanded_welch,Expanded Welch,197,0.394,0.0659175436508474,extreme_rare_np50_nq250,PCAL_PCAL_extreme_rare_np50_nq250_extreme_rare_np50_nq250,extreme_rare,50,250,500
normal_wald,Normal Wald,499,0.998,0.0,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,500
simple_welch,Simple Welch,499,0.998,5.448781696498037e-234,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,500
expanded_welch,Expanded Welch,210,0.42,0.0972193971771126,extreme_rare_np50_nq500,PCAL_PCAL_extreme_rare_np50_nq500_extreme_rare_np50_nq500,extreme_rare,50,500,500
normal_wald,Normal Wald,490,0.98,9.503816785017438e-25,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,500
simple_welch,Simple Welch,490,0.98,3.9583522213859073e-20,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,500
expanded_welch,Expanded Welch,328,0.656,0.011219996157891246,extreme_rare_np100_nq200,PCAL_PCAL_extreme_rare_np100_nq200_extreme_rare_np100_nq200,extreme_rare,100,200,500
normal_wald,Normal Wald,499,0.998,5.723788732796335e-109,extreme_rare_np100_nq500,PCAL_PCAL_extreme_rare_np100_nq500_extreme_rare_np100_nq500,extreme_rare,100,500,500
simple_welch,Simple Welch,499,0.998,2.2725836787420537e-76,extreme_rare_np100_nq500,PCAL_PCAL_extreme_rare_np100_nq500_extreme_rare_np100_nq500,extreme_rare,100,500,500
expanded_welch,Expanded Welch,371,0.742,0.004499788253156082,extreme_rare_np100_nq500,PCAL_PCAL_extreme_rare_np100_nq500_extreme_rare_np100_nq500,extreme_rare,100,500,500
