configuration_id,shape,alphabet_size,regime,sample_size,stage,replicates,minimum_expected_count,fraction_expected_below_1,fraction_expected_below_5,mean_observed_zero_cell_fraction_p,mean_observed_zero_cell_fraction_q,lr_valid_rate,lr_median_elapsed_ms,lr_p90_elapsed_ms,lr_median_iterations,lr_max_constraint_residual
4x4_balanced_n1000,4x4,4,balanced,1000,alternative,750,18.931086035676522,0.0,0.0,0.0,0.0,1.0,39.84352096449584,47.57182870525867,43.0,1.526927612127693e-10
4x4_balanced_n1000,4x4,4,balanced,1000,equal_mi_null,750,29.86018700998615,0.0,0.0,0.0,0.0,1.0,39.50154210906476,51.08453277498484,42.0,9.793232905175309e-09
4x4_mild_n25,4x4,4,mild,25,alternative,750,0.02472733514940689,0.65625,0.9375,0.4806666666666667,0.5041666666666667,1.0,37.79681248124689,163.55660040862867,73.5,6.503765748178125e-09
4x4_mild_n25,4x4,4,mild,25,equal_mi_null,750,0.05879171040133239,0.65625,0.9375,0.4871666666666667,0.5,1.0,32.0473340107128,151.31630385294557,49.0,5.896517774051091e-09
4x4_mild_n50,4x4,4,mild,50,alternative,750,0.04945467029881378,0.46875,0.9375,0.2960833333333333,0.3445,1.0,30.366291641257703,104.88705376628786,44.0,7.793890727247899e-09
4x4_mild_n50,4x4,4,mild,50,equal_mi_null,750,0.11758342080266478,0.46875,0.9375,0.29491666666666666,0.3305,1.0,31.11324948258698,105.62024167738855,44.0,5.190600407822821e-09
4x4_mild_n75,4x4,4,mild,75,alternative,750,0.07418200544822066,0.3125,0.8125,0.20016666666666666,0.27016666666666667,1.0,39.2539999447763,110.74181220028551,64.0,5.7810409515024475e-09
4x4_mild_n75,4x4,4,mild,75,equal_mi_null,750,0.17637513120399717,0.3125,0.8125,0.19616666666666666,0.2534166666666667,1.0,36.090375506319106,92.36277907621115,55.0,9.694799935067167e-09
4x4_mild_n100,4x4,4,mild,100,alternative,750,0.09890934059762756,0.125,0.6875,0.13816666666666666,0.22216666666666668,1.0,39.52754195779562,85.11525415815414,62.0,9.881797075061982e-09
4x4_mild_n100,4x4,4,mild,100,equal_mi_null,750,0.23516684160532955,0.09375,0.6875,0.14066666666666666,0.1995,1.0,37.590354098938406,78.65628285799176,55.0,2.0872214512301923e-09
4x4_mild_n150,4x4,4,mild,150,alternative,750,0.14836401089644133,0.09375,0.5625,0.07425,0.15791666666666668,1.0,40.60293757356703,70.57893692981453,61.0,9.574900039499568e-09
4x4_mild_n150,4x4,4,mild,150,equal_mi_null,750,0.35275026240799434,0.0625,0.53125,0.06925,0.13658333333333333,1.0,37.01683308463544,64.63239982258528,51.0,8.88737961002306e-09
4x4_mild_n250,4x4,4,mild,250,alternative,750,0.24727335149406887,0.0625,0.46875,0.022583333333333334,0.10125,1.0,43.277833494357765,67.161646601744,62.0,9.981518223067809e-09
4x4_mild_n250,4x4,4,mild,250,equal_mi_null,750,0.5879171040133239,0.03125,0.46875,0.02125,0.07375,1.0,36.60681250039488,51.88390859402716,50.0,9.515610494004179e-09
4x4_mild_n500,4x4,4,mild,500,alternative,750,0.49454670298813774,0.03125,0.125,0.0013333333333333333,0.0545,1.0,47.232229611836374,65.98225489724429,85.0,9.66676180769177e-09
4x4_mild_n500,4x4,4,mild,500,equal_mi_null,750,1.1758342080266477,0.0,0.09375,0.00075,0.028416666666666666,1.0,36.041895975358784,49.185266508720815,42.0,9.250765237167613e-09
