scenario_id,configuration_id,population_replication,shape_index,design_index,rows,columns,n_p,n_q,target_mi,regime,regime_label,margin_profile,method,method_label,valid_replicates,valid_rate,nominal_alpha,rejections,rejection_rate,rejection_rate_low,rejection_rate_high,absolute_calibration_error
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.03,167,0.0334,0.028766903125880962,0.03874951632924636,0.0034000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.031,172,0.0344,0.02969500743957795,0.039819876611659255,0.0034000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.032,177,0.0354,0.030624246822118124,0.04088910182522896,0.0034000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.033,181,0.0362,0.03136842467827379,0.04174369564596121,0.0032000000000000015
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.034,187,0.0374,0.032485950592838445,0.04302432724672842,0.0034000000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.035,189,0.0378,0.032858784642278795,0.04345087903573202,0.002799999999999997
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.036,193,0.0386,0.03360492613069616,0.04430350922420257,0.002600000000000005
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.037,195,0.039,0.03397822888090428,0.04472959231243839,0.0020000000000000018
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.038,204,0.0408,0.035659936585538905,0.046645120880801576,0.002800000000000004
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.039,214,0.0428,0.03753187129513541,0.048770115363424835,0.003799999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.04,218,0.0436,0.038281587437894005,0.049619170897554146,0.003599999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.041,223,0.0446,0.039219458507478336,0.050679764424079704,0.003599999999999999
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.042,229,0.0458,0.04034593470149568,0.05195144574539422,0.003799999999999998
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.043,236,0.0472,0.041661525804974855,0.053433705076468885,0.004200000000000002
config_2x2_d0_p00,2x2_balanced_control,0,0,0,2,2,100,100,0.1,balanced_control,Balanced control,uniform,normal_wald,Normal Wald,5000,1.0,0.044,240,0.048,0.042413931418707994,0.05428007113962365,0.0040000000000000036
