condition,condition_label,method,method_label,nominal_alpha,actual_rejection_rate
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.058,0.07630434782608694
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.059000000000000004,0.0788057413600892
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.06,0.07922240802675586
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.061,0.08047519509476031
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.062,0.08130992196209587
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.063,0.08214325529542921
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.064,0.08506270903010034
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.065,0.08672937569676702
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.066,0.08756270903010034
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.067,0.08964743589743589
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.068,0.09131410256410256
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.069,0.0921474358974359
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07,0.09298216276477146
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07100000000000001,0.09464882943143813
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.07200000000000001,0.09548216276477148
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.073,0.09715022296544037
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.074,0.09840022296544035
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.075,0.0992335562987737
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.076,0.10006828316610925
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.077,0.10131828316610925
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.078,0.10215161649944257
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.079,0.10465440356744704
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08,0.10590440356744704
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.081,0.10715440356744704
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.082,0.10965440356744705
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.083,0.11048773690078037
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.084,0.11132107023411371
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.085,0.11215440356744705
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08600000000000001,0.11340440356744703
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.08700000000000001,0.1142391304347826
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.088,0.11590579710144927
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.089,0.11590579710144927
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.09,0.11757385730211817
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.091,0.11924191750278708
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.092,0.12007664437012265
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.093,0.12090997770345598
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.094,0.12340997770345596
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.095,0.12466137123745819
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.096,0.12507943143812708
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.097,0.12674609810479376
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.098,0.12674609810479376
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.099,0.12757943143812708
ultra_sparse,Ultra-sparsity,normal_wald,Normal Wald,0.1,0.1284127647714604
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.0,0.0
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.001,0.050833333333333335
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.002,0.058333333333333334
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.003,0.06333333333333334
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.004,0.07125000000000001
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.005,0.07541666666666666
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.006,0.08
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.007,0.08249999999999999
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.008,0.08666666666666666
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.009000000000000001,0.09125
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.01,0.09625
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.011,0.09958333333333334
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.012,0.10166666666666667
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.013000000000000001,0.1025
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.014,0.10458333333333333
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.015,0.1075
ultra_imbalanced,Ultra-sparsity with imbalance,normal_wald,Normal Wald,0.016,0.11041666666666668
