configuration_id,shape,alphabet_size,regime,regime_label,sample_size_p,sample_size_q,true_mi_p,true_mi_q,true_mi_difference,method,method_label,replicates,valid_count,valid_rate,reject_count,rejection_rate,wilson_low,wilson_high,source
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,34,0.034,0.0244313486632263,0.047135190245311,fixed_effect_screen
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,42,0.042,0.0312208855461654,0.056284425226603,fixed_effect_screen
3x3_balanced_n250_delta0.005,3x3,3,balanced,Balanced margins,250,250,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,43,0.043,0.03207865341171336,0.057419003844084014,curve_run
3x3_balanced_n250_delta0.005,3x3,3,balanced,Balanced margins,250,250,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,39,0.039,0.028658960904180485,0.052869310419501346,curve_run
3x3_balanced_n250_delta0.005,3x3,3,balanced,Balanced margins,250,250,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,43,0.043,0.03207865341171336,0.057419003844084014,curve_run
3x3_balanced_n250_delta0.01,3x3,3,balanced,Balanced margins,250,250,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,64,0.064,0.050436200898229526,0.08090073250117454,curve_run
3x3_balanced_n250_delta0.01,3x3,3,balanced,Balanced margins,250,250,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,52,0.052,0.03987303628377742,0.06755573931927998,curve_run
3x3_balanced_n250_delta0.01,3x3,3,balanced,Balanced margins,250,250,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,57,0.057,0.04425344035871594,0.07313706765948591,curve_run
3x3_balanced_n250_delta0.02,3x3,3,balanced,Balanced margins,250,250,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,104,0.104,0.08657102809826807,0.12445976462229157,curve_run
3x3_balanced_n250_delta0.02,3x3,3,balanced,Balanced margins,250,250,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,95,0.095,0.07834523457904741,0.11475443979425223,curve_run
3x3_balanced_n250_delta0.02,3x3,3,balanced,Balanced margins,250,250,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,99,0.099,0.08199544136866538,0.11907361893674984,curve_run
3x3_balanced_n250_delta0.035,3x3,3,balanced,Balanced margins,250,250,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,178,0.178,0.1555376102762298,0.2029268221884677,curve_run
3x3_balanced_n250_delta0.035,3x3,3,balanced,Balanced margins,250,250,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,159,0.159,0.1376463027469242,0.18296354654022445,curve_run
3x3_balanced_n250_delta0.035,3x3,3,balanced,Balanced margins,250,250,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,169,0.169,0.14704962548581355,0.193483688631624,curve_run
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,278,0.278,0.2511220562741525,0.3065770244934339,fixed_effect_screen
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,263,0.263,0.2366568597910783,0.2911570237310747,fixed_effect_screen
3x3_balanced_n250,3x3,3,balanced,Balanced margins,250,250,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,273,0.273,0.2462959489171712,0.3014413994352708,fixed_effect_screen
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,44,0.044,0.0329382145884185,0.0585517891504077,fixed_effect_screen
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,37,0.037,0.0269611808755547,0.0505823974820693,fixed_effect_screen
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,40,0.04,0.0295109736854527,0.0540096441212579,fixed_effect_screen
3x3_balanced_n500_delta0.005,3x3,3,balanced,Balanced margins,500,500,0.05,0.055,0.005,constrained_lr,Constrained LR,1000,1000,1.0,54,0.054,0.04162131372306273,0.06979215484605245,curve_run
3x3_balanced_n500_delta0.005,3x3,3,balanced,Balanced margins,500,500,0.05,0.055,0.005,expanded_welch,Expanded Welch,1000,1000,1.0,47,0.047,0.0355271051063845,0.06193993808152845,curve_run
3x3_balanced_n500_delta0.005,3x3,3,balanced,Balanced margins,500,500,0.05,0.055,0.005,normal_wald,Normal Wald,1000,1000,1.0,51,0.051,0.03900094277526684,0.06643548634476165,curve_run
3x3_balanced_n500_delta0.01,3x3,3,balanced,Balanced margins,500,500,0.05,0.060000000000000005,0.01,constrained_lr,Constrained LR,1000,1000,1.0,81,0.081,0.0656496215412003,0.0995572020696949,curve_run
3x3_balanced_n500_delta0.01,3x3,3,balanced,Balanced margins,500,500,0.05,0.060000000000000005,0.01,expanded_welch,Expanded Welch,1000,1000,1.0,74,0.074,0.05935499258410698,0.09190540564558597,curve_run
3x3_balanced_n500_delta0.01,3x3,3,balanced,Balanced margins,500,500,0.05,0.060000000000000005,0.01,normal_wald,Normal Wald,1000,1000,1.0,77,0.077,0.062047907060605895,0.09518953061817373,curve_run
3x3_balanced_n500_delta0.02,3x3,3,balanced,Balanced margins,500,500,0.05,0.07,0.02,constrained_lr,Constrained LR,1000,1000,1.0,137,0.137,0.11707313063299474,0.1597050960275183,curve_run
3x3_balanced_n500_delta0.02,3x3,3,balanced,Balanced margins,500,500,0.05,0.07,0.02,expanded_welch,Expanded Welch,1000,1000,1.0,127,0.127,0.10778000925843848,0.14907475257178568,curve_run
3x3_balanced_n500_delta0.02,3x3,3,balanced,Balanced margins,500,500,0.05,0.07,0.02,normal_wald,Normal Wald,1000,1000,1.0,130,0.13,0.11056377462484193,0.1522680266544689,curve_run
3x3_balanced_n500_delta0.035,3x3,3,balanced,Balanced margins,500,500,0.05,0.085,0.035,constrained_lr,Constrained LR,1000,1000,1.0,367,0.367,0.33768854423226846,0.3973293735248892,curve_run
3x3_balanced_n500_delta0.035,3x3,3,balanced,Balanced margins,500,500,0.05,0.085,0.035,expanded_welch,Expanded Welch,1000,1000,1.0,358,0.358,0.328881603627749,0.3882051957821486,curve_run
3x3_balanced_n500_delta0.035,3x3,3,balanced,Balanced margins,500,500,0.05,0.085,0.035,normal_wald,Normal Wald,1000,1000,1.0,366,0.366,0.3367094419466035,0.3963161293275252,curve_run
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.1,0.05,constrained_lr,Constrained LR,1000,1000,1.0,587,0.587,0.5562066759628382,0.6171274680606752,fixed_effect_screen
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.1,0.05,expanded_welch,Expanded Welch,1000,1000,1.0,583,0.583,0.5521794617220657,0.6131852963693321,fixed_effect_screen
3x3_balanced_n500,3x3,3,balanced,Balanced margins,500,500,0.05,0.1,0.05,normal_wald,Normal Wald,1000,1000,1.0,586,0.586,0.5551996791811112,0.6161421183593733,fixed_effect_screen
3x3_balanced_n1000,3x3,3,balanced,Balanced margins,1000,1000,0.05,0.05,0.0,constrained_lr,Constrained LR,1000,1000,1.0,41,0.041,0.0303649710820983,0.0551479932076413,fixed_effect_screen
3x3_balanced_n1000,3x3,3,balanced,Balanced margins,1000,1000,0.05,0.05,0.0,expanded_welch,Expanded Welch,1000,1000,1.0,37,0.037,0.0269611808755547,0.0505823974820693,fixed_effect_screen
3x3_balanced_n1000,3x3,3,balanced,Balanced margins,1000,1000,0.05,0.05,0.0,normal_wald,Normal Wald,1000,1000,1.0,41,0.041,0.0303649710820983,0.0551479932076413,fixed_effect_screen
