configuration_id,anchor_configuration_id,configuration_label,sample_scale,n_p,n_q,mi_p,mi_q,minimum_expected_count,method,method_label,alpha,replicates,valid_count,valid_rate,reject_count,false_positive_rate,absolute_fpr_error,wilson_low,wilson_high
LR_C1_N6_n100_scale1,C1_N6_n100,"Sparse, smaller sample",1.0,100,100,0.004999999999999782,0.00500000000026285,0.24262923617301407,simple_welch,Simple Welch,0.1,100,100,1.0,8,0.08,0.020000000000000004,0.041093461484380624,0.14998107700948735
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,bartlett_lr,Constrained LR (oracle Bartlett),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,constrained_lr,Constrained LR (chi-squared),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,empirical_lr,Constrained LR (split empirical),0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,expanded_welch,Expanded Welch,0.01,100,100,1.0,0,0.0,0.01,3.469446951953614e-18,0.03699349820698568
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,normal_wald,Normal Wald,0.01,100,100,1.0,6,0.06,0.049999999999999996,0.027786123963188192,0.1247681544589592
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,simple_welch,Simple Welch,0.01,100,100,1.0,6,0.06,0.049999999999999996,0.027786123963188192,0.1247681544589592
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,bartlett_lr,Constrained LR (oracle Bartlett),0.05,100,100,1.0,2,0.02,0.030000000000000002,0.00550196755016235,0.07001179072854388
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,constrained_lr,Constrained LR (chi-squared),0.05,100,100,1.0,1,0.01,0.04,0.0017674320641406505,0.054486196178705315
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,empirical_lr,Constrained LR (split empirical),0.05,100,100,1.0,1,0.01,0.04,0.0017674320641406505,0.054486196178705315
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,expanded_welch,Expanded Welch,0.05,100,100,1.0,3,0.03,0.020000000000000004,0.010254524024038925,0.0845193642905276
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,normal_wald,Normal Wald,0.05,100,100,1.0,11,0.11,0.06,0.06254196357064568,0.18631296503080313
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,simple_welch,Simple Welch,0.05,100,100,1.0,11,0.11,0.06,0.06254196357064568,0.18631296503080313
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,bartlett_lr,Constrained LR (oracle Bartlett),0.1,100,100,1.0,3,0.03,0.07,0.010254524024038925,0.0845193642905276
LR_C1_N6_n200_scale1,C1_N6_n200,"Sparse, larger sample",1.0,200,200,0.004999999999999782,0.00500000000026285,0.48525847234602815,constrained_lr,Constrained LR (chi-squared),0.1,100,100,1.0,3,0.03,0.07,0.010254524024038925,0.0845193642905276
