scenario_id,regime,regime_label,variant,rows,columns,n_p,n_q,target_mi,minimum_joint_expected_pair,sample_size_ratio_q_to_p,simulation_seed,replicates,correction,valid_replicates,mean_delta_error,mean_standard_error,standardized_mean_bias,empirical_delta_sd,sd_to_mean_se_ratio
random_2x5_d4,moderate,Moderate,variant_2,2,5,200,400,0.07,4.798832066856108,2.0,3875519215,10000,analytic,10000,-3.1845471605827115e-05,0.031830761715919934,-0.0010004621281148865,0.03226680076843924,1.013698668489646
random_2x5_d4,moderate,Moderate,variant_2,2,5,200,400,0.07,4.798832066856108,2.0,3875519215,10000,jackknife,10000,-0.00022545200710758523,0.031830761715919934,-0.007082834181590665,0.03217415708073364,1.0107881604555493
random_2x5_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,5,120,480,0.15,0.4440305405250277,4.0,2786888119,10000,analytic,10000,0.0011569027027399444,0.0450163016053231,0.025699639052603616,0.04758714430949366,1.0571091496300655
random_2x5_d5,sparse_imbalanced,Sparse and imbalanced,variant_2,2,5,120,480,0.15,0.4440305405250277,4.0,2786888119,10000,jackknife,10000,0.0005476043063441118,0.0450163016053231,0.012164577871038577,0.0494769731467399,1.0990901380687688
stress_2x5_d6,highly_sparse,Highly skewed and sparse,variant_1,2,5,25775,25775,0.1,2.348812297077573,1.0,4287286767,10000,analytic,10000,3.369560868469131e-05,0.003782967353815956,0.008907189920817547,0.0038033617034332807,1.00539109849752
stress_2x5_d6,highly_sparse,Highly skewed and sparse,variant_1,2,5,25775,25775,0.1,2.348812297077573,1.0,4287286767,10000,jackknife,10000,3.3046989360708066e-05,0.003782967353815956,0.008735732103892701,0.003803317429754727,1.0053793950715022
stress_2x5_d7,highly_sparse,Highly skewed and sparse,variant_2,2,5,1122,4488,0.15,1.7944237147973603,4.0,2851230002,10000,analytic,10000,0.00016212116714104738,0.015875075877051923,0.010212308173934476,0.015978134215932725,1.006491832837774
stress_2x5_d7,highly_sparse,Highly skewed and sparse,variant_2,2,5,1122,4488,0.15,1.7944237147973603,4.0,2851230002,10000,jackknife,10000,3.337168516549944e-05,0.015875075877051923,0.002102143348728152,0.015984966692948306,1.0069222230336068
stress_2x5_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,5,568,568,0.1,0.5890516431987006,1.0,1014955703,10000,analytic,10000,-0.00020525785841085878,0.024719651322239737,-0.008303428544972749,0.02480622027000712,1.0035020294841093
stress_2x5_d8,ultra_sparse,Ultra-skewed and sparse,variant_1,2,5,568,568,0.1,0.5890516431987006,1.0,1014955703,10000,jackknife,10000,-0.00042317669506026514,0.024719651322239737,-0.017119039809414392,0.02505294580492761,1.0134829766950644
stress_2x5_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,5,424,1696,0.15,0.524733181112345,4.0,1303512339,10000,analytic,10000,0.0005345826025928768,0.02493865766665245,0.02143590123167341,0.025649461939027965,1.0285021063233082
stress_2x5_d9,ultra_sparse,Ultra-skewed and sparse,variant_2,2,5,424,1696,0.15,0.524733181112345,4.0,1303512339,10000,jackknife,10000,0.00027173183704516787,0.02493865766665245,0.010896008946324446,0.026082262865677903,1.0458567263046663
adversarial_2x5_d10,widespread_sparse,Widespread sparsity,variant_1,2,5,120,120,0.03,0.0028186077056692,1.0,3155669485,10000,analytic,9991,0.0035534702255464313,0.029151632385121005,0.12189609757016978,0.031016811499692303,1.0639819784336773
adversarial_2x5_d10,widespread_sparse,Widespread sparsity,variant_1,2,5,120,120,0.03,0.0028186077056692,1.0,3155669485,10000,jackknife,9991,-0.0019797905915788895,0.029151632385121005,-0.06791354135589933,0.03440194405019301,1.1801035220158638
