configuration_id,pair_id,shape,profile,n_p,n_q,target_mi_p,target_mi_q,section,population,mi,v,tau2,mean_vhat,var_vhat,mean_vhat_over_v,n_var_ihat_over_v,population_first_order_df,empirical_moment_df,median_plugin_df,first_order_var_ratio
config_df2386b657c0b987,pair_57c0709ba92e2e9a,8x8,uniform,250,250,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.17814089769963531,0.000981929253216282,5.56605692082427,4.589658857272997,6.040429201051028,64.6363866424949,31.8503686864432,2.895249630356863
config_df2386b657c0b987,pair_57c0709ba92e2e9a,8x8,uniform,250,250,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.17765724600272284,0.0009637907900046437,5.550945102540929,4.624316021362851,6.040429201051028,65.49574323514736,31.75574516201604,2.841767794739149
config_6764faba76c52a5c,pair_57c0709ba92e2e9a,8x8,uniform,500,500,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.11638116534154806,0.0004160621961135862,3.636358630543958,2.6358834394663555,12.080858402102056,65.10841779318513,38.516227579788314,2.4535452336462695
config_6764faba76c52a5c,pair_57c0709ba92e2e9a,8x8,uniform,500,500,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.11629940518898509,0.00042497790441369974,3.6338040141201198,2.6794696663230364,12.080858402102056,63.65296410396491,38.358508697352846,2.5061217325655614
config_621be532862cd442,pair_57c0709ba92e2e9a,8x8,uniform,1000,1000,0.02,0.02,main,p,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.07624760474904557,0.00015883691813350004,2.3823754881109895,1.823189335787771,24.16171680420411,73.20334967819448,49.04069098717588,1.873342817750829
config_621be532862cd442,pair_57c0709ba92e2e9a,8x8,uniform,1000,1000,0.02,0.02,main,q,0.019999999999999997,0.032004864526835396,0.08478796119345773,0.07628161516722155,0.00015660142272509156,2.383438152136562,1.8040829812829846,24.16171680420411,74.31458426447297,49.024664541459956,1.8469771005317555
config_7bd6236dc28bb6ef,pair_6271495019b80969,8x8,same_skew,2,2,0.02,0.02,main,p,0.01999999999999942,0.06880993277312229,0.8654673577939918,0.0,0.0,0.0,1.6404748851263322,0.02188323710005775,,,0.0
config_7bd6236dc28bb6ef,pair_6271495019b80969,8x8,same_skew,2,2,0.02,0.02,main,q,0.01999999999999942,0.06880993277312229,0.8654673577939918,0.0,0.0,0.0,1.6526565715083836,0.02188323710005775,,,0.0
config_61f41f16d1459411,pair_6271495019b80969,8x8,same_skew,5,5,0.02,0.02,main,p,0.01999999999999942,0.06880993277312229,0.8654673577939918,0.07627547003051054,0.014108917203581116,1.1084950523350074,3.601929518674354,0.054708092750144384,0.8247191821210211,1.2240888092278552,0.08151039479723209
config_61f41f16d1459411,pair_6271495019b80969,8x8,same_skew,5,5,0.02,0.02,main,q,0.01999999999999942,0.06880993277312229,0.8654673577939918,0.07560158006822226,0.014034230675938288,1.0987015539964724,3.5187917691784185,0.054708092750144384,0.8145225827891265,1.2240888092278552,0.0810789138928962
